Cut,Slot,Id,Road,PosX,PosY,STime,Timer,Velo,QtdBcn,Media,Classe,Descricao,Clusteres,ClusterLOS,RoadTag
1,1,2,,202.059,255.36,8.080199380186,1594164234.537781,7.01665,1,7.01665,0.7111895451739042,Breakdown-flow,0,0.0,
2,1,2,,202.059,255.36,8.180206332501,1594164234.6611009,7.01665,1,7.01665,0.7111895451739042,Breakdown-flow,0,0.0,
3,1,2,,202.059,255.36,8.280200284816,1594164234.7727382,7.01665,1,7.016650000000001,0.711189545173904,Breakdown-flow,0,0.0,
4,1,2,,202.059,255.36,8.380207237131,1594164234.9019303,7.01665,1,7.01665,0.7111895451739042,Breakdown-flow,0,0.0,
5,1,2,,202.059,255.36,8.480201189446,1594164235.0159414,7.01665,1,7.01665,0.7111895451739042,Breakdown-flow,0,0.0,
6,1,2,,202.059,255.36,8.580208141761,1594164235.1369362,7.01665,1,7.016649999999999,0.7111895451739042,Breakdown-flow,0,0.0,
7,1,2,,202.059,255.36,8.680202094076,1594164235.287072,7.01665,1,7.016649999999999,0.7111895451739042,Breakdown-flow,0,0.0,
8,1,2,,202.059,255.36,8.780209046391,1594164235.4307075,7.01665,1,7.016649999999999,0.7111895451739042,Breakdown-flow,0,0.0,
9,1,2,,202.059,255.36,8.880202998706,1594164235.5475914,7.01665,1,7.016649999999999,0.7111895451739042,Breakdown-flow,0,0.0,
10,1,2,,202.059,255.36,8.980196951021,1594164235.6853728,7.01665,1,7.01665,0.7111895451739042,Breakdown-flow,0,0.0,
0,1,3,,357.129,439.924,10.074038973727,1594164237.356868,15.4144,1,15.4144,0.36553200246964396,Stable-flow,0,0.0,
1,1,3,,357.129,439.924,10.174034879718,1594164237.5369663,15.4144,1,15.4144,0.36553200246964396,Stable-flow,0,0.0,
2,1,3,,357.129,439.924,10.274043785709,1594164237.6962683,15.4144,1,15.4144,0.36553200246964396,Stable-flow,0,0.0,
3,1,3,,357.129,439.924,10.3740396917,1594164237.8874524,15.4144,1,15.4144,0.36553200246964396,Stable-flow,0,0.0,
4,1,3,,357.129,439.924,10.474035597691,1594164238.040989,15.4144,1,15.4144,0.36553200246964396,Stable-flow,0,0.0,
5,1,3,,357.129,439.924,10.574044503682,1594164238.1932807,15.4144,1,15.4144,0.36553200246964396,Stable-flow,0,0.0,
6,1,3,,357.129,439.924,10.674040409673,1594164238.3804784,15.4144,1,15.4144,0.36553200246964396,Stable-flow,0,0.0,
7,1,3,,357.129,439.924,10.774036315664,1594164238.5710073,15.4144,1,15.4144,0.36553200246964396,Stable-flow,0,0.0,
8,1,3,,357.129,439.924,10.874032221655,1594164238.748014,15.4144,1,15.4144,0.36553200246964396,Stable-flow,0,0.0,
9,1,3,,357.129,439.924,10.974041127646,1594164238.9073322,15.4144,1,15.4144,0.36553200246964396,Stable-flow,0,0.0,
0,1,11,,152.999,501.99,13.06797554852,1594164242.7227154,6.84881,1,6.84881,0.7180979625437333,Breakdown-flow,0,0.0,
1,1,2,,235.069,250.967,13.080198365794,1594164242.7946084,5.76922,1,6.3090150000000005,0.7403163202305,Breakdown-flow,0,0.0,
2,1,11,,152.999,501.99,13.167979647162,1594164242.9346983,6.84881,1,6.488946666666667,0.7329102010015778,Breakdown-flow,0,0.0,
3,1,2,,235.069,250.967,13.180202464436,1594164242.9958937,5.76922,1,6.3090150000000005,0.7403163202305,Breakdown-flow,0,0.0,
4,1,11,,152.999,501.99,13.267970745804,1594164243.121283,6.84881,1,6.416974000000001,0.7358726486931467,Breakdown-flow,0,0.0,
5,1,2,,235.069,250.967,13.280206563078,1594164243.174352,5.76922,1,6.309015,0.7403163202305002,Breakdown-flow,0,0.0,
6,1,11,,152.999,501.99,13.367974844446,1594164243.3198867,6.84881,1,6.386128571428571,0.7371422691323906,Breakdown-flow,0,0.0,
7,1,2,,235.069,250.967,13.38019766172,1594164243.3722453,5.76922,1,6.309015,0.7403163202305002,Breakdown-flow,0,0.0,
8,1,11,,152.999,501.99,13.467978943088,1594164243.5088794,6.84881,1,6.3689922222222215,0.7378476138208594,Breakdown-flow,0,0.0,
9,1,2,,235.069,250.967,13.480201760362,1594164243.5760052,5.76922,1,6.309015,0.7403163202305002,Breakdown-flow,0,0.0,
10,1,11,,152.999,501.99,13.56797004173,1594164243.7226017,6.84881,1,6.358087272727272,0.7382964695317032,Breakdown-flow,0,0.0,
