Cut,Slot,Id,Road,PosX,PosY,STime,Timer,Velo,QtdBcn,Media,Classe,Descricao,Clusteres,ClusterLOS,RoadTag
1,1,7,,152.61,507.437,7.672056398769,1594161927.304699,2.34,1,2.34,0.9036838855731633,Breakdown-flow,6,0.0,
2,1,7,,152.61,507.437,7.872053815897,1594161927.442987,2.34,1,2.34,0.9036838855731633,Breakdown-flow,6,0.0,
3,1,7,,152.61,507.437,7.972052524461,1594161927.4960172,2.34,1,2.34,0.9036838855731633,Breakdown-flow,6,0.0,
4,1,2,,202.059,255.36,8.080199380186,1594161927.5663319,7.01665,1,3.5091625,0.8555603004733485,Breakdown-flow,6,0.0,
5,1,2,,202.059,255.36,8.180206332501,1594161927.6192908,7.01665,1,4.21066,0.8266861494134595,Breakdown-flow,6,0.0,
6,1,2,,202.059,255.36,8.480201189446,1594161927.7737954,7.01665,1,4.678325,0.8074367153735337,Breakdown-flow,6,0.0,
0,1,7,,150.075,501.843,9.07204562203,1594161928.14262,4.66797,1,4.66797,0.8078629347602387,Breakdown-flow,6,0.0,
1,1,7,,150.075,501.843,9.472051810642,1594161928.4503334,4.66797,1,4.66797,0.8078629347602387,Breakdown-flow,6,0.0,
2,1,7,,150.075,501.843,9.572053357795,1594161928.532408,4.66797,1,4.66797,0.8078629347602387,Breakdown-flow,6,0.0,
3,1,7,,150.075,501.843,9.672054904948,1594161928.606564,4.66797,1,4.66797,0.8078629347602387,Breakdown-flow,6,0.0,
4,1,7,,150.075,501.843,9.772056452101,1594161928.6648116,4.66797,1,4.66797,0.8078629347602387,Breakdown-flow,6,0.0,
5,1,7,,150.075,501.843,9.872044999254,1594161928.7340653,4.66797,1,4.66797,0.8078629347602387,Breakdown-flow,6,0.0,
6,1,7,,150.075,501.843,9.972046546407,1594161928.8142235,4.66797,1,4.667970000000001,0.8078629347602387,Breakdown-flow,6,0.0,
7,1,3,,357.129,439.924,10.3740396917,1594161929.2517252,15.4144,1,6.011273750000001,0.7525715682239144,Breakdown-flow,6,0.0,
8,1,3,,357.129,439.924,10.674040409673,1594161929.7218816,15.4144,1,7.0560655555555565,0.7095671720289954,Breakdown-flow,6,0.0,
9,1,3,,357.129,439.924,10.974041127646,1594161930.1497319,15.4144,1,7.891899,0.6751636550730602,Unstable-flow,6,0.0,
10,1,11,,152.61,507.437,11.367979753446,1594161930.6493456,2.34,1,7.38718090909091,0.6959382214821607,Unstable-flow,6,0.0,
11,1,11,,152.61,507.437,11.467982537044,1594161930.7655551,2.34,1,6.966582500000001,0.7132503601564107,Breakdown-flow,6,0.0,
12,1,11,,152.61,507.437,11.867980671436,1594161931.2428162,2.34,1,6.6106915384615395,0.7278990928807764,Breakdown-flow,5,0.0,
0,1,11,,152.999,501.99,13.06797554852,1594161933.437408,6.84881,1,6.84881,0.7180979625437333,Breakdown-flow,5,0.0,
1,1,2,,235.069,250.967,13.280206563078,1594161933.8321133,5.76922,1,6.3090150000000005,0.7403163202305,Breakdown-flow,5,0.0,
2,1,13,,415.899,274.701,13.54993566531,1594161934.261938,2.08,1,4.899343333333333,0.7983394388420114,Breakdown-flow,5,0.0,
3,1,11,,152.999,501.99,13.56797004173,1594161934.2878277,6.84881,1,5.386710000000001,0.7782790697674419,Breakdown-flow,5,0.0,
4,1,2,,235.069,250.967,13.680196957646,1594161934.545692,5.76922,1,5.463212,0.7751301913974069,Breakdown-flow,5,0.0,
5,1,13,,415.899,274.701,13.749943862594,1594161934.629632,2.08,1,4.899343333333334,0.7983394388420114,Breakdown-flow,5,0.0,
6,1,11,,152.999,501.99,13.767978239014,1594161934.6613114,6.84881,1,5.177838571428572,0.7868763707994002,Breakdown-flow,5,0.0,
7,1,13,,415.899,274.701,13.949939059878,1594161935.0122862,2.08,1,4.7906087500000005,0.8028150339576045,Breakdown-flow,5,0.0,
0,1,13,,413.33,274.507,14.749939525302,1594161936.631267,4.46402,1,4.46402,0.8162576661864582,Breakdown-flow,5,0.0,
1,1,9,,201.499,255.428,15.227740938161,1594161937.5885577,6.686,1,5.57501,0.7705285038073678,Breakdown-flow,5,0.0,
2,1,5,,143.395,267.54,15.48831738032,1594161938.2708402,6.03421,1,5.7280766666666665,0.7642281676613843,Breakdown-flow,5,0.0,
3,1,9,,201.499,255.428,15.527735717963,1594161938.2919981,6.686,1,5.9675575,0.7543709611031078,Breakdown-flow,5,0.0,
