Cut,Slot,Id,Road,PosX,PosY,STime,Timer,Velo,QtdBcn,Media,Classe,Descricao,Clusteres,ClusterLOS,RoadTag
1,1,7,,152.61,507.437,7.072051147385,1594163166.4233584,2.34,1,2.34,0.9036838855731633,Breakdown-flow,0,0.0,
2,1,7,,152.61,507.437,7.372047273077,1594163166.5376143,2.34,1,2.34,0.9036838855731633,Breakdown-flow,0,0.0,
3,1,7,,152.61,507.437,7.572057690205,1594163166.6126041,2.34,1,2.34,0.9036838855731633,Breakdown-flow,0,0.0,
0,1,2,,202.059,255.36,8.080199380186,1594163166.8177226,7.01665,1,7.01665,0.7111895451739042,Breakdown-flow,0,0.0,
1,1,2,,202.059,255.36,8.280200284816,1594163166.9056172,7.01665,1,7.01665,0.7111895451739042,Breakdown-flow,0,0.0,
0,1,2,,202.059,255.36,8.880202998706,1594163167.209788,7.01665,1,7.01665,0.7111895451739042,Breakdown-flow,0,0.0,
1,1,2,,202.059,255.36,8.980196951021,1594163167.2525504,7.01665,1,7.01665,0.7111895451739042,Breakdown-flow,0,0.0,
2,1,7,,150.075,501.843,9.472051810642,1594163167.4841812,4.66797,1,6.233756666666667,0.7434140083693489,Breakdown-flow,0,0.0,
3,1,7,,150.075,501.843,9.772056452101,1594163167.7024412,4.66797,1,5.84231,0.7595262399670714,Breakdown-flow,0,0.0,
4,1,7,,150.075,501.843,9.872044999254,1594163167.8175075,4.66797,1,5.607442000000001,0.769193578925705,Breakdown-flow,0,0.0,
5,1,3,,357.129,439.924,10.074038973727,1594163167.9932885,15.4144,1,7.241935000000001,0.7019166495163613,Breakdown-flow,0,0.0,
6,1,3,,357.129,439.924,10.174034879718,1594163168.0618753,15.4144,1,8.40943,0.6538616999382589,Unstable-flow,0,0.0,
0,1,3,,357.129,439.924,10.674040409673,1594163168.4749153,15.4144,1,15.4144,0.36553200246964396,Stable-flow,0,0.0,
1,1,3,,357.129,439.924,10.974041127646,1594163168.7097082,15.4144,1,15.4144,0.36553200246964396,Stable-flow,0,0.0,
2,1,11,,152.61,507.437,11.067971402652,1594163168.8510277,2.34,1,11.056266666666668,0.5449159635041504,Approaching unstable-flow,0,0.0,
3,1,11,,152.61,507.437,11.267976969848,1594163169.0263262,2.34,1,8.877200000000002,0.6346079440214035,Unstable-flow,0,0.0,
0,1,2,,235.069,250.967,13.080198365794,1594163170.961295,5.76922,1,5.76922,0.7625346779172669,Breakdown-flow,0,0.0,
1,1,11,,152.999,501.99,13.367974844446,1594163171.2720025,6.84881,1,6.3090150000000005,0.7403163202305,Breakdown-flow,0,0.0,
2,1,2,,235.069,250.967,13.38019766172,1594163171.3603232,5.76922,1,6.129083333333334,0.7477224394594224,Breakdown-flow,0,0.0,
3,1,13,,415.899,274.701,13.449944566668,1594163171.4394844,2.08,1,5.1168125,0.7893882486108252,Breakdown-flow,0,0.0,
4,1,2,,235.069,250.967,13.680196957646,1594163171.7610645,5.76922,1,5.247294,0.7840175344721136,Breakdown-flow,0,0.0,
5,1,13,,415.899,274.701,13.749943862594,1594163171.86034,2.08,1,4.719411666666667,0.8057455580709337,Breakdown-flow,0,0.0,
6,1,13,,415.899,274.701,13.849934961236,1594163171.986096,2.08,1,4.342352857142857,0.8212655749272337,Breakdown-flow,0,0.0,
7,1,13,,415.899,274.701,13.949939059878,1594163172.1018684,2.08,1,4.05955875,0.8329055875694588,Breakdown-flow,0,0.0,
8,1,13,,413.33,274.507,14.049937572114,1594163172.248707,4.46402,1,4.104498888888888,0.8310558185269031,Breakdown-flow,0,0.0,
9,1,13,,413.33,274.507,14.249947415882,1594163172.5835514,4.46402,1,4.140451,0.8295760032928586,Breakdown-flow,0,0.0,
10,1,13,,413.33,274.507,14.349945837766,1594163172.7209408,4.46402,1,4.169866363636363,0.828365245374095,Breakdown-flow,0,0.0,
11,1,13,,413.33,274.507,14.649941103418,1594163173.1915781,4.46402,1,4.194379166666666,0.827356280441792,Breakdown-flow,0,0.0,
0,1,9,,201.499,255.428,15.627733977897,1594163175.1186469,6.686,1,6.686,0.7247993414282774,Breakdown-flow,0,0.0,
1,1,9,,201.499,255.428,15.727732237831,1594163175.3684978,6.686,1,6.686,0.7247993414282774,Breakdown-flow,0,0.0,
2,1,9,,201.499,255.428,15.927741757699,1594163175.826771,6.686,1,6.686,0.7247993414282774,Breakdown-flow,0,0.0,
3,1,5,,143.395,267.54,15.98832167999,1594163175.993583,6.03421,1,6.5230525,0.7315063799135625,Breakdown-flow,0,0.0,
4,1,3,,290.794,439.491,16.07403280269,1594163176.1601157,3.62042,1,5.942526,0.7554012759827125,Breakdown-flow,0,0.0,
5,1,3,,290.794,439.491,16.27403425306,1594163176.634104,3.62042,1,5.555508333333333,0.7713312066954793,Breakdown-flow,0,0.0,
6,1,3,,290.794,439.491,16.374041478245,1594163176.854374,3.62042,1,5.279067142857143,0.7827097286331697,Breakdown-flow,0,0.0,
0,1,8,,153.082,430.088,17.049775924495,1594163178.1205428,5.92847,1,5.92847,0.7559798312409961,Breakdown-flow,0,0.0,
1,1,8,,153.082,430.088,17.249768472601,1594163178.672771,5.92847,1,5.92847,0.7559798312409961,Breakdown-flow,0,0.0,
2,1,3,,285.767,439.607,17.274034677465,1594163178.7665603,6.09786,1,5.984933333333333,0.7536557590725115,Breakdown-flow,0,0.0,
3,1,8,,153.082,430.088,17.54977029476,1594163179.353021,5.92847,1,5.9708175,0.7542367771146327,Breakdown-flow,0,0.0,
4,1,11,,194.059,500.99,17.567977047299,1594163179.477615,10.4748,1,6.871613999999999,0.7171593331961309,Breakdown-flow,0,0.0,
5,1,3,,285.767,439.607,17.574036499624,1594163179.4987593,6.09786,1,6.742654999999999,0.7224673801193662,Breakdown-flow,0,0.0,
6,1,8,,153.082,430.088,17.849772116919,1594163180.2469366,5.92847,1,6.626342857142856,0.7272548731367419,Breakdown-flow,0,0.0,
7,1,1,,339.86,241.487,18.042482146704,1594163180.7423217,6.47107,1,6.606933749999999,0.7280537662070385,Breakdown-flow,0,0.0,
8,1,15,,149.956,507.832,18.050197204273,1594163180.7841043,4.19527,1,6.3389711111111104,0.7390833047494912,Breakdown-flow,0,0.0,
9,1,1,,339.86,241.487,18.242476214192,1594163181.2651699,6.47107,1,6.352180999999999,0.7385395760444536,Breakdown-flow,0,0.0,
10,1,2,,264.015,251.001,18.280208665915,1594163181.4003708,6.57503,1,6.372439999999998,0.7377057007614737,Breakdown-flow,0,0.0,
11,1,1,,339.86,241.487,18.342479747936,1594163181.5198836,6.47107,1,6.380659166666665,0.7373673938396105,Breakdown-flow,0,0.0,
12,1,15,,149.956,507.832,18.450198339249,1594163181.873185,4.19527,1,6.212552307692306,0.7442867953203414,Breakdown-flow,0,0.0,
13,1,2,,264.015,251.001,18.480202733403,1594163181.9936268,6.57503,1,6.2384435714285695,0.7432210919354366,Breakdown-flow,0,0.0,
14,1,15,,149.956,507.832,18.550201872993,1594163182.1624832,4.19527,1,6.102231999999998,0.7488276600123484,Breakdown-flow,0,0.0,
