Road,Slot,1TO2,BASELINE,DBSCAN,LIMITE,RANDOM,XMEANS,ERR_DBSCAN,ERR_XMEANS,ERR_1TO2,ERR_RAND,ERR_LIMITE
-23840712#0_0,2,0.5001250877921491,0.5001250877921491,0.5001250877921491,0.5001250877921491,0.5001250877921491,0.5001250877921491,True,True,True,True,True
-23840712#0_0,4,0.3918733947493887,0.3918733947493887,0.3918733947493887,0.3918733947493887,0.3918733947493887,0.3918733947493887,True,True,True,True,True
-23840712#0_0,7,0.2899114645012123,0.2899114645012123,0.2899114645012124,0.2899114645012123,0.2899114645012124,0.2899114645012124,True,True,True,True,True
-23840712#0_0,10,0.18665764394067558,0.18665764394067558,0.1866576439406756,0.18665764394067558,0.1866576439406756,0.1866576439406756,True,True,True,True,True
-23840712#0_0,13,0.10062902754494711,0.10062902754494718,0.10062902754494707,0.10062902754494718,0.10062902754494707,0.10062902754494707,True,True,True,True,True
-23840712#0_0,17,0.0,-1.8213160254894576e-16,0.0,-1.8213160254894576e-16,0.0,0.0,True,True,True,True,True
-23840712#2_0,1,0.04498027376449441,0.04283835596618515,0.0,0.04283835596618515,0.03855452036956664,0.05140602715942215,True,True,True,True,True
-23840712#2_0,2,0.42648844209002096,0.3778466001191664,0.29569557000191193,0.13087524028027533,0.28510949029577726,0.264840536574275,True,False,True,True,False
-23840712#3_0,1,1.8452511358067308e-16,1.8452511358067308e-16,0.0,0.0,0.0,0.0,True,True,True,True,True
-23840712#4_0,1,0.4231090601219206,0.42365553755352375,0.4238922175113009,0.42365553755352375,0.42543118080469094,0.42223508161992573,True,True,True,True,True
-23840712#4_0,2,0.821845703652021,0.8274350455621592,0.7753193351463951,0.0,0.8183100486901889,0.807789143569417,True,True,True,True,False
-23840712#4_0,3,0.28361272073154364,0.3077776009721098,0.3092431300038928,0.3077776009721098,0.3010934484322677,0.3195627572866898,True,True,True,True,True
-23840712#4_0,5,0.16787411056520518,0.17231100277745617,0.17875461904807832,0.17231100277745617,0.17500537085689946,0.18117921410952093,True,True,True,True,True
-23840712#4_0,6,0.1141867260733711,0.11418672607337117,0.1141867260733711,0.11418672607337117,0.11418672607337106,0.1141867260733711,True,True,True,True,True
-23840712#4_0,7,0.1659034172632135,0.17182028400348023,0.20277749885974516,0.17182028400348023,0.1607250301584397,0.19800432324301084,True,True,True,True,True
-23840712#4_0,8,0.0630615246089968,0.06935684527253791,0.07421850414283594,0.06935684527253791,0.06075375700563757,0.03945236601514199,True,True,True,True,True
-23840712#4_0,9,0.3883261152110242,0.3067225533310187,0.28861412434180067,0.3067225533310187,0.2852325275816841,0.14188172665200785,True,False,True,True,True
-23840712#4_0,10,0.2665304830281396,0.2668584003587547,0.26626731913411605,0.2668584003587547,0.26101648305283237,0.2566004051472276,True,True,True,True,True
-23840712#4_0,11,0.3974299126258536,0.4029924560236086,0.40383021351695403,0.4029924560236086,0.40514524585631817,0.40119133412589036,True,True,True,True,True
-23840712#4_0,12,0.5092183078031791,0.507522783821317,0.49734640886244824,0.507522783821317,0.507368091012363,0.5013847123572696,True,True,True,True,True
-23840712#4_0,13,0.6886058395695073,0.6814813730855505,0.6837000894246332,0.6259656000462909,0.684424991072201,0.6861335064191941,True,True,True,True,True
-23840712#4_0,14,0.6321794968076484,0.6336640001157274,0.6385491005413467,0.6067318959032514,0.6316827548343718,0.6360613983299097,True,True,True,True,True
-23840888#1_0,2,0.0,2.160786727698556e-16,0.0,2.160786727698556e-16,0.0,0.0,True,True,True,True,True
-23840888#1_0,3,0.33959138194451194,0.33959138194451194,0.33959138194451194,0.33959138194451194,0.33959138194451194,0.33959138194451194,True,True,True,True,True
-23840888#1_0,4,0.5515711213398079,0.5515711213398078,0.5515711213398079,0.0,0.5515711213398079,0.5515711213398079,True,True,True,True,False
-28675493#0_0,1,0.6850130154937863,0.6850130154937863,0.6850130154937865,0.6850130154937863,0.6850130154937865,0.6850130154937865,True,True,True,True,True
-28675493#0_0,2,0.7090553515074794,0.7945798970611417,0.7630389962347457,0.5987889350473372,0.7661015400252615,0.7971785648486577,True,True,True,True,False
-28675493#0_0,3,0.5338855432014273,0.5485328596644498,0.575735018810063,0.5485328596644498,0.54853285966445,0.630139337101289,True,True,True,True,True
-28675493#0_0,4,0.34252143990586054,0.3425214399058605,0.3425214399058605,0.3425214399058605,0.3226643986128693,0.29839468147699105,True,True,True,True,True
-28675493#0_0,5,0.0,0.6529454240733147,0.6529454240733146,0.6529454240733147,0.6529454240733146,0.6529454240733146,True,True,False,True,True
-28675493#0_0,6,0.2818612156114608,0.2818612156114608,0.2818612156114608,0.2818612156114608,0.2818612156114608,0.2818612156114608,True,True,True,True,True
-28675493#0_0,7,0.4931761919325882,0.4979957476777147,0.5188804892399308,0.4979957476777147,0.497995747677715,0.5248475582577068,True,True,True,True,True
-28675493#0_0,8,0.09153636315010602,0.264961131813076,0.2401861648612232,0.264961131813076,0.20715287559208603,0.3392860326686346,True,True,False,True,True
-28675493#0_0,9,0.42425675221599407,0.4199101396045428,0.42524681397749126,0.4199101396045428,0.4068703017701894,0.4199101396045429,True,True,True,True,True
-28675493#0_0,11,0.46456266996965856,0.48301299766434297,0.4979489772267064,0.48301299766434297,0.4621026262770339,0.4946298706572923,True,True,True,True,True
-28675493#0_0,12,0.717266033127106,0.717266033127106,0.717266033127106,0.717266033127106,0.717266033127106,0.0,True,False,True,True,True
-28675493#0_0,13,0.5279595161911919,0.5492919482232959,0.5646987046909265,0.27197033180594427,0.5492919482232959,0.45685140941751207,True,True,True,True,False
-28675493#0_0,14,0.9317640773762886,0.9266629067583866,0.9490903805859813,0.2987858148947171,0.9231783658279261,0.906695747166468,True,True,True,True,False
-28675493#1_0,1,0.0,-1.734825125886527e-16,0.0,-1.734825125886527e-16,-1.734825125886527e-16,0.0,True,True,True,True,True
-28675493#1_1,1,0.03857057617993224,0.03606916373561277,0.16334261631423674,0.0,0.08750497302548405,0.11796966733805984,False,True,True,True,True
-28675494_1,2,0.6875444541111467,0.8159593898502587,0.8029721293710029,0.0,0.773620520519211,0.6875444541111467,True,False,False,True,False
-28675494_1,3,0.5388265640978678,0.5388265640978677,0.5388265640978678,0.5388265640978677,0.5388265640978678,0.5388265640978678,True,True,True,True,True
-28675494_1,5,0.3822481188088589,0.3822481188088589,0.3822481188088589,0.3822481188088589,0.3822481188088589,0.3822481188088589,True,True,True,True,True
-28675494_1,7,0.24870644260268335,0.24870644260268335,0.24870644260268332,0.24870644260268335,0.24870644260268338,0.24870644260268335,True,True,True,True,True
-28675494_1,9,0.10816276691545712,0.10816276691545716,0.10816276691545708,0.10816276691545716,0.10816276691545712,0.10816276691545712,True,True,True,True,True
-28675494_1,11,1.8075276537898564e-16,2.2594095672373203e-16,0.0,2.2594095672373203e-16,1.3556457403423922e-16,0.0,True,True,True,True,True
-28675494_1,14,0.2515476899125417,0.2515476899125417,0.2515476899125417,0.2515476899125417,0.2515476899125417,0.2515476899125417,True,True,True,True,True
-28675494_1,15,0.4840224674511959,0.4840224674511959,0.4840224674511959,0.4840224674511959,0.4840224674511959,0.4840224674511959,True,True,True,True,True
-28675494_1,16,0.6778309446403225,0.6778309446403225,0.6778309446403223,0.0,0.6778309446403223,0.6778309446403223,True,True,True,True,False
-290365598#0_0,4,0.2542683604605002,0.2542683604605002,0.2542683604605002,0.2542683604605002,0.2542683604605002,0.2542683604605002,True,True,True,True,True
-290365598#0_0,5,0.49539896784438275,0.49539896784438275,0.4953989678443827,0.49539896784438275,0.4953989678443827,0.4953989678443827,True,True,True,True,True
-290365598#0_0,6,0.684905915045653,0.684905915045653,0.684905915045653,0.0,0.684905915045653,0.684905915045653,True,True,True,True,False
-290365598#0_0,7,0.590323938070663,0.590323938070663,0.590323938070663,0.590323938070663,0.590323938070663,0.590323938070663,True,True,True,True,True
-290365598#1_0,1,0.3819739123256006,0.3819739123256005,0.3819739123256006,0.3819739123256005,0.3819739123256006,0.3819739123256006,True,True,True,True,True
-290365598#1_0,2,0.1648394287129529,0.16483942871295293,0.16483942871295293,0.16483942871295293,0.1648394287129529,0.16483942871295293,True,True,True,True,True
-290365598#1_0,3,0.2177032939816725,0.21770329398167249,0.2177032939816725,0.21770329398167249,0.2177032939816725,0.2177032939816725,True,True,True,True,True
-290365598#1_0,5,0.04796499628498307,0.0479649962849831,0.04796499628498304,0.0479649962849831,0.04796499628498304,0.04796499628498301,True,True,True,True,True
-297047307_0,1,-1.9947410944170264e-16,-1.9947410944170264e-16,0.0,-1.9947410944170264e-16,0.0,0.0,True,True,True,True,True
